1,Brian D. Davison,2.071769626865672,2.170587417910447
1,Yiqun Liu,4.418221242424242,3.420348575757575
1,Emine Yilmaz,4.9587563333333335,4.760276215686276
2,Paul N. Bennett,3.8376120204081623,2.3034389183673474
2,Min Zhang,9.162171949275365,0.22245700724637654
3,Iadh Ounis,5.869116083333332,4.878375666666666
3,James Allan,6.199683220779219,4.6439545974025975
3,Ji-Rong Wen,1.8988362413793107,1.9350921494252873
4,Carlos Castillo,1.5710071951219515,2.486354780487805
4,Tat-Seng Chua,3.448318570422535,0.5461709929577463
4,Debora Donato,2.215736392857143,3.47715075
5,Yi Zhang,4.822516553191489,0.06661538297872324
5,Min-Yen Kan,5.446177447761195,1.8486773731343284
5,Deepak Agarwal,1.9033376976744187,-0.929038558139535
6,Jianfeng Gao,11.14714668831169,-0.5844197142857143
6,Jun Wang,3.037496291262136,0.37640959223301007
7,Jeff Huang,1.0241310588235297,7.691751176470587
7,Robert Capra,2.8364533749999996,7.312735125000001
8,Fernando Diaz,5.650059034482759,4.655243982758619
8,Maarten de Rijke,6.701004303167416,3.594103013574662
